deal id,proposed ticker,company name,proposed exchange,proposed share price,shares offered,date,year,month,dollar value of offering,,,Year,Count
761069-56632,TUX.U,TRIAN ACQUISITION I CORP.,American Stock Exchange,10,"80,000,000",2008-01-25T00:00:00+02:00,2008,1,"$800,000,000",,,,
758093-56256,AXG.U,Atlas Acquisition Holdings Corp.,American Stock Exchange,10,"20,000,000",2008-01-25T00:00:00+02:00,2008,1,"$200,000,000",,,,
755803-55974,IPCM,"IPC Healthcare, Inc.",Nasdaq National Market,16,"5,200,000",2008-01-24T00:00:00+02:00,2008,1,"$83,200,000",,,,
640806-56152,RMG,RiskMetrics Group Inc,New York Stock Exchange,17.5,"14,000,000",2008-01-24T00:00:00+02:00,2008,1,"$245,000,000",,,,
725405-52179,GCC,WisdomTree Continuous Commodity Index Fund,American Stock Exchange,30,"40,000,000",2008-01-24T00:00:00+02:00,2008,1,"$1,200,000,000",,,,
758167-56259,EBSB,MERIDIAN INTERSTATE BANCORP INC,Nasdaq National Market,10,"10,050,000",2008-01-23T00:00:00+02:00,2008,1,"$100,500,000",,,,
759104-56376,FYR.U,Sapphire Industrials Corp.,American Stock Exchange,10,"80,000,000",2008-01-18T00:00:00+02:00,2008,1,"$800,000,000",,,,
758062-56248,HMR.U,Sports Properties Acquisition Corp.,American Stock Exchange,10,"20,000,000",2008-01-18T00:00:00+02:00,2008,1,"$200,000,000",,,,
756639-56081,WMZ,WILLIAMS PIPELINE PARTNERS L.P.,New York Stock Exchange,20,"16,250,000",2008-01-18T00:00:00+02:00,2008,1,"$325,000,000",,,,
753542-55634,CIO.U,Gerova Financial Group Ltd,American Stock Exchange,10,"10,000,000",2008-01-17T00:00:00+02:00,2008,1,"$100,000,000",,,,
755424-55919,TKP.U,"HUGHES Telematics, Inc.",American Stock Exchange,10,"15,000,000",2008-01-14T00:00:00+02:00,2008,1,"$150,000,000",,,,
755922-55991,DNBK,"Danvers Bancorp, Inc.",Nasdaq National Market,9.74,"14,950,000",2008-01-10T00:00:00+02:00,2008,1,"$145,613,000",,,,
699414-52768,ACLZ,CFN Enterprises Inc.,OTCBB,0.75,"16,826,519",2008-01-09T00:00:00+02:00,2008,1,"$12,619,889",,,,
755177-55860,FXRE,"Circle Entertainment, Inc.",NASDAQ National Market,10,"19,473,349",2008-01-09T00:00:00+02:00,2008,1,"$194,733,490",,,,
762060-56724,SCRUF,FINCERA INC.,OTCBB,8,"4,500,000",2008-02-28T00:00:00+02:00,2008,2,"$36,000,000",,,,
762571-56794,BPW.U,BPW Acquisition Corp.,American Stock Exchange,10,"35,000,000",2008-02-27T00:00:00+02:00,2008,2,"$350,000,000",,,,
741541-54175,UGA,"United States Gasoline Fund, LP",New York Stock Exchange,50,"30,000,000",2008-02-27T00:00:00+02:00,2008,2,"$1,500,000,000",,,,
734841-53406,BHRT,"U.S. Stem Cell, Inc.",Nasdaq National Market,5.25,"1,100,000",2008-02-19T00:00:00+02:00,2008,2,"$5,775,000",,,,
763694-56932,GHQ.U,Iridium Communications Inc.,American Stock Exchange,10,"40,000,000",2008-02-19T00:00:00+02:00,2008,2,"$400,000,000",,,,
757071-56146,MAKO,MAKO Surgical Corp.,Nasdaq National Market,10,"5,100,000",2008-02-14T00:00:00+02:00,2008,2,"$51,000,000",,,,
714827-56060,ARST,ArcSight Inc,Nasdaq National Market,9,"6,861,919",2008-02-14T00:00:00+02:00,2008,2,"$61,757,271",,,,
707850-53409,TYM,ASIA TIME CORP,American Stock Exchange,3.5,"838,000",2008-02-12T00:00:00+02:00,2008,2,"$2,933,000",,,,
759881-56479,BBVUF,BBV Vietnam S.E.A. Acquisition Corp.,OTCBB,8,"4,500,000",2008-02-11T00:00:00+02:00,2008,2,"$36,000,000",,,,
757112-56158,CBNJ,"Cape Bancorp, Inc.",Nasdaq National Market,10,"10,580,000",2008-02-01T00:00:00+02:00,2008,2,"$105,800,000",,,,
8267-57425,CDYT,"China Display Technologies, Inc.",OTCBB,4,"1,800,000",2008-02-01T00:00:00+02:00,2008,2,"$7,200,000",,,,
760316-56538,NLX.U,Overture Acquisition Corp.,American Stock Exchange,10,"15,000,000",2008-02-01T00:00:00+02:00,2008,2,"$150,000,000",,,,
123550-55801,BEAT,"CardioNet, Inc.",Nasdaq National Market,18,"4,500,000",2008-03-19T00:00:00+02:00,2008,3,"$81,000,000",,,,
701612-55720,HFFIU,"U-SWIRL, INC.",OTCBB,5.1,"1,000,000",2008-03-19T00:00:00+02:00,2008,3,"$5,100,000",,,,
748327-56731,V,VISA INC.,New York Stock Exchange,44,"406,000,000",2008-03-19T00:00:00+02:00,2008,3,"$17,864,000,000",,,,
747773-55021,HCCI,"Heritage-Crystal Clean, Inc.",Nasdaq National Market,11.5,"1,914,000",2008-03-12T00:00:00+02:00,2008,3,"$22,011,000",,,,
757058-56142,HMAUF,"SGOCO Group, Ltd.",OTCBB,8,"4,000,000",2008-03-10T00:00:00+02:00,2008,3,"$32,000,000",,,,
763517-57727,HTS,Hatteras Financial Corp,New York Stock Exchange,24,"10,000,000",2008-04-25T00:00:00+03:00,2008,4,"$240,000,000",,,,
755335-55889,AWK,"American Water Works Company, Inc.",New York Stock Exchange,21.5,"58,000,000",2008-04-23T00:00:00+03:00,2008,4,"$1,247,000,000",,,,
765516-57150,IPI,"Intrepid Potash, Inc.",New York Stock Exchange,32,"30,000,000",2008-04-22T00:00:00+03:00,2008,4,"$960,000,000",,,,
